,name,class,subclass
1047,玉米红烧牛肉味方便面面饼,：速食食品,：方便食品
1048,玉米红烧牛肉味方便面调味料,：速食食品,：方便食品
1049,海鲜鸡汁味米线(含调味料),：快餐米线230（海鲜鸡汁）。,食食品
1050,海鲜鸡汁味米线面饼,：速食食品,：方便食品
1051,海鲜鸡汁味米线调味料,：速食食品,：方便食品
1052,冬菜虾仁馄饨,：速食食品,：方便食品
1053,韭菜合子,：速食食品,：方便食品
1054,糯米饭团,：速食食品,：方便食品
1055,什锦炒饭,：速食食品,：方便食品
1056,虾仁炒饭,：速食食品,：方便食品
1057,面包(均值),：速食食品,：方便食品
1058,法式牛角面包,：速食食品,：方便食品
1059,果料面包,：速食食品,：方便食品
1060,黄油面包,：速食食品,：方便食品
1061,维生素面包,：速食食品,：方便食品
1062,葡萄干面包,：速食食品,：方便食品
1063,饼干(均值),：速食食品,：方便食品
1064,苏打饼干,：速食食品,：方便食品
1065,饼干(三明治),：速食食品,：方便食品
1066,饼干(夹心),：速食食品,：方便食品
1067,饼干(甜酥夹心),：甜酥夹心莱姆柠檬饼干。,食食品
1068,饼干(苏打夹心),：速食食品,：方便食品
1069,曲奇饼(加奶油),：速食食品,：方便食品
1070,水饺(三鲜馅),：速食食品,：方便食品
1071,水饺(猪肉白菜馅),：速食食品,：方便食品
1072,水饺(猪肉韭菜馅),：速食食品,：方便食品
1073,水饺(猪肉芹菜馅),：速食食品,：方便食品
1074,水饺(猪肉茴香馅),：速食食品,：方便食品
1075,水饺(猪肉香菇馅),：速食食品,：方便食品
1076,水饺(猪肉虾仁馅),：速食食品,：方便食品
1077,水饺(鸡肉蘑菇馅),：速食食品,：方便食品
1078,水饺(海鳗猪肉馅),：速食食品,：方便食品
1079,水饺(海鳗虾仁馅),：速食食品,：方便食品
1080,包子(猪肉馅),：速食食品,：方便食品
1081,雪米饼,：速食食品,：休闲食品
1082,蛋酥卷,：速食食品,：休闲食品
1083,巧克力派,：速食食品,：休闲食品
1084,法式卷饼,：速食食品,：休闲食品
1085,立体脆,：速食食品,：休闲食品
1086,粟米脆,：速食食品,：休闲食品
1087,通心脆,：速食食品,：休闲食品
1088,洋葱圈,：速食食品,：休闲食品
1089,虾片,：速食食品,：休闲食品
1090,锅巴(豆香),：速食食品,：休闲食品
1091,锅巴(小米),：速食食品,：休闲食品
1092,海苔,：速食食品,：休闲食品
1093,香菇片,：速食食品,：休闲食品
1094,薯片(烧烤味),：速食食品,：休闲食品
1095,薯片(香辣味),：速食食品,：休闲食品
1096,薯圈,：速食食品,：休闲食品
1097,怪味胡豆,：速食食品,：休闲食品
1098,奶油五香豆,：速食食品,：休闲食品
1099,夹心米果,：速食食品,：休闲食品
1100,乐芙球,：速食食品,：休闲食品
1101,玉米花,：速食食品,：休闲食品
1102,果仁脆枣,：速食食品,：休闲食品
1103,空心脆枣,：速食食品,：休闲食品
1104,果冻(草莓水果冻),：速食食品,：休闲食品
1105,果冻(蒟蒻冻),：速食食品,：休闲食品
1106,果冻(蒟蒻椰果冻),：速食食品,：休闲食品
1107,果冻(AD钙果冻),：速食食品,：休闲食品
1108,可口可乐,：饮料类,：碳酸饮料
1109,菠萝汁饮料(大湖牌),：饮料类,：果汁及果汁饮料
1110,苹果汁饮料(光明牌),：饮料类,：果汁及果汁饮料
1111,橙汁饮料(茹梦牌),：饮料类,：果汁及果汁饮料
