,name,informal_name,class,energy,carbohydrates,fat,protein,cellulose
114,草鱼,鲩鱼、混子、草鲩、草包鱼、草根鱼、草青、白鲩,蛋类、肉类及制品,113,0,5.2,16.6,0
115,黑鲳鱼,鲳鱼、刺鲳、鲳鱼（鲜）,149 大卡（100克）,149,5.9,6.5,16.8,0
116,红鲋,None,None,None,None,None,None,None
117,黑鳝,None,家常菜 ,162.74,7.68,7.26,18.79,2.06
118,吞拿鱼,None,其他菜肴,99.03,2.71,7.79,4.15,0.54
119,鱼子酱,鱼籽酱,调味品,201,24.7,7.1,9.6,0
120,海鳗,勾鱼、鲫勾、门鳝、海鳝、麻鱼、牙鱼、狼牙鱼、蟒鱼,蛋类、肉类及制品,122,0.5,5,18.8,一
121,草虾,草虾,蛋类、肉类及制品,96,0,1.2,21.2,0
122,鲨鱼,真鲨、白斑角鲨,蛋类、肉类及制品,118,0,3.2,22.2,0
123,虱目鱼,None,蛋类、肉类及制品,179,0.2,9.5,21.8,0
124,乌鱼,None,蛋类、肉类及制品,66,0,1.1,14.1,0
125,鲭鱼,None,蛋类、肉类及制品,372,0.4,34.5,14.9,0
126,吴郭鱼,吴郭鱼、越南鱼、非洲鲫鱼、福寿鱼、尼罗鱼,蛋类、肉类及制品,98,2.8,1.5,18.4,0
127,四破鱼,None,None,None,None,None,None,None
128,鱿鱼,鱿鱼,甘肃菜 ,97.21,6.61,3.22,10.1,0.78
129,鲳鱼,鲳鱼、刺鲳、鲳鱼（鲜）,149 大卡（100克）,149,5.9,6.5,16.8,0
130,白鲳鱼,鲳鱼、刺鲳、鲳鱼（鲜）,149 大卡（100克）,149,5.9,6.5,16.8,0
131,牡蛎,"减肥菜,牡蛎粥",家常菜 ,39.08,7.41,0.52,1.25,0.06
132,生蚝,蚝,蛋类、肉类及制品,57,0,1.5,10.9,0
133,鲺鱼泥,None,None,None,None,None,None,None
134,三文鱼,三文鱼、大马哈鱼、大麻哈鱼、大马哈鱼、三文鱼,蛋类、肉类及制品,139,0,7.8,17.2,0
135,吻仔鱼,None,调味品,608,20.1,51.2,16.8,0
136,蛙鱼,青蛙 蛙鱼 青鸡 坐鱼 长股 蛤鱼,蛋类、肉类及制品,93,0,1.2,20.5,一
137,蛤蜊,蛤,蛋类、肉类及制品,62,2.8,1.1,10.1,0
138,沙丁鱼,沙鲻、沙鲻,蛋类、肉类及制品,89,0,1.1,19.8,0
139,秋刀鱼,None,私家菜 ,198.75,7.7,12.22,14.58,0.03
140,皮刀鱼,None,私家菜 ,173.59,4.89,11.5,12.63,0.22
141,凤尾鱼,小凤尾鱼,蛋类、肉类及制品,124,4,5.1,15.5,一
142,扁鱼干,扁桃仁小鱼干,511 大卡（100克）,510.99,30.1,29.6,31.3,0
143,青鱼,青皮鱼、青鳞鱼、青混、鲭、黑鲩、螺狮青、青皮鱼、青鳞鱼、青混,蛋类、肉类及制品,118,0,4.2,20.1,0
144,鲱鱼,None,None,None,None,None,None,None
145,千贝,None,谷薯芋、杂豆、主食,362.81,56.9,10.5,9.2,一
146,白带鱼,刀鱼、裙带鱼、牙带、白带鱼、柳鞭鱼、带柳、晦刀鱼、白带鱼、刀鱼,蛋类、肉类及制品,127,3.1,4.9,17.7,0
147,带鱼,刀鱼、裙带鱼、牙带、白带鱼、柳鞭鱼、带柳、晦刀鱼、白带鱼、刀鱼,蛋类、肉类及制品,127,3.1,4.9,17.7,0
148,蚌始,None,None,None,None,None,None,None
149,熏鲱鱼,None,蛋类、肉类及制品,224,0,15.5,21.2,0
150,小鱼干,None,家常菜 ,307.06,9.85,26.62,12.1,3.81
151,白带鱼皮,刀鱼、裙带鱼、牙带、白带鱼、柳鞭鱼、带柳、晦刀鱼、白带鱼、刀鱼,蛋类、肉类及制品,127,3.1,4.9,17.7,0
152,杏子,杏果、甜梅、叭达杏、杏实、杏子,蔬果和菌藻,38,9.1,0.1,0.9,1.3
153,石榴,安石榴、金罂、金庞、钟石榴、天浆、甘石榴、丹若,蔬果和菌藻,72,18.5,0.2,1.3,4.9
154,凤梨,番梨、露兜子、凤梨、凤梨，地菠萝,蔬果和菌藻,44,10.8,0.1,0.5,1.3
155,菠萝,番梨、露兜子、凤梨、凤梨，地菠萝,蔬果和菌藻,44,10.8,0.1,0.5,1.3
156,葡萄,草龙珠、山葫芦、蒲桃、菩提子、,蔬果和菌藻,45,10.3,0.3,0.4,1
157,苹果,滔婆、柰、柰子、频婆、平波、天然子、红富士、昭通苹果、丑苹果,蔬果和菌藻,53,13.7,0.2,0.4,1.7
158,梨,梨子、皇冠梨、快果、玉乳、果宗、蜜父、雪梨、香水梨、青梨,蔬果和菌藻,51,13.1,0.1,0.3,2.6
159,西瓜,寒瓜、天生白虎汤、夏瓜、水瓜,蔬果和菌藻,31,6.8,0.3,0.5,0.2
160,香蕉,蕉子、蕉果、甘蕉、甘蕉,蔬果和菌藻,93,22,0.2,1.4,1.2
161,桃子,桃,蔬果和菌藻,42,10.1,0.1,0.6,1
162,枇杷,腊兄、金丸、卢橘、粗客,蔬果和菌藻,41,9.3,0.2,0.8,0.8
