,name,class,subclass
0,小麦粉(标准粉),类及制品,小麦
1,小麦粉(富强粉，特一粉),类及制品,小麦
2,挂面(均值),类及制品,小麦
3,挂面(标准粉),类及制品,小麦
4,挂面(富强粉),类及制品,小麦
5,面条(均值),类及制品,小麦
6,面条(标准粉，切面),类及制品,小麦
7,面条(富强粉，切面),类及制品,小麦
8,面条(干切面),类及制品,小麦
9,通心面[通心粉],类及制品,小麦
10,花卷,类及制品,小麦
11,空锅饼,类及制品,小麦
12,烙饼(标准粉),类及制品,小麦
13,馒头(均值),类及制品,小麦
14,馒头(标准粉),类及制品,小麦
15,馒头(富强粉),类及制品,小麦
16,烧饼(加糖),类及制品,小麦
17,油饼,类及制品,小麦
18,油条,类及制品,小麦
19,水面筋,类及制品,小麦
20,油面筋,类及制品,小麦
21,稻米(均值),类及制品,稻米
22,粳米(标一),类及制品,稻米
23,籼米(标准)[机米],类及制品,稻米
24,香大米,类及制品,稻米
25,籼米,类及制品,稻米
26,糯米[江米](均值),类及制品,稻米
27,紫红糯米[血糯米],类及制品,稻米
28,米饭(蒸)(均值),类及制品,稻米
29,粳米粥,类及制品,稻米
30,籼米粉[排米粉],类及制品,稻米
31,籼米粉(干，细),类及制品,稻米
32,籼米粥,类及制品,稻米
33,玉米(鲜),类及制品,玉米
34,玉米(白，干),类及制品,玉米
35,玉米(黄，干),类及制品,玉米
36,玉米面(白),类及制品,玉米
37,玉米面(黄),类及制品,玉米
38,玉米糁(黄),类及制品,玉米
39,玉米笋(罐头),类及制品,玉米
40,大麦[元麦],类及制品,大麦
41,青稞,类及制品,大麦
42,小米,类及制品,小米、黄米
43,小米面,类及制品,小米、黄米
44,小米粥,类及制品,小米、黄米
45,大黄米[黍子],类及制品,小米、黄米
46,黄米,类及制品,小米、黄米
47,高粱米,类及制品,其它
48,糜子(带皮),类及制品,其它
49,苦荞麦粉,类及制品,其它
50,荞麦,类及制品,其它
51,莜麦面,类及制品,其它
52,薏米[薏仁米，苡米],类及制品,其它
53,薏米面,类及制品,其它
54,马铃薯[土豆，洋芋],类、淀粉及制品,薯类
55,马铃薯粉,类、淀粉及制品,薯类
56,甘薯(白心)[红皮山芋],类、淀粉及制品,薯类
57,甘薯(红心)[山芋，红薯],类、淀粉及制品,薯类
58,甘薯片[白薯干],类、淀粉及制品,薯类
59,甘薯粉[地瓜粉],类、淀粉及制品,薯类
60,木薯,类、淀粉及制品,薯类
61,玉米淀粉,类、淀粉及制品,淀粉类
62,团粉[芡粉],类、淀粉及制品,淀粉类
63,藕粉,类、淀粉及制品,淀粉类
64,魔芋精粉[鬼芋粉，南星粉],类、淀粉及制品,淀粉类
65,粉丝,类、淀粉及制品,淀粉类
66,粉条,类、淀粉及制品,淀粉类
67,黄豆[大豆],豆类及制品,大豆
68,黑豆[黑大豆](干),豆类及制品,大豆
69,青豆[青大豆](干),豆类及制品,大豆
70,黄豆粉,豆类及制品,大豆
71,豆腐花[豆腐粉],豆类及制品,大豆
72,豆浆粉,豆类及制品,大豆
73,豆粕,豆类及制品,大豆
74,豆腐(均值),豆类及制品,大豆
75,豆腐(北),豆类及制品,大豆
76,豆腐(南)[南豆腐],豆类及制品,大豆
77,豆腐(内酯),豆类及制品,大豆
78,豆腐脑[老豆腐],豆类及制品,大豆
79,豆浆,豆类及制品,大豆
80,豆奶[豆乳],豆类及制品,大豆
81,豆汁(生),豆类及制品,大豆
82,豆腐丝,豆类及制品,大豆
83,豆腐皮,豆类及制品,大豆
84,油豆腐,豆类及制品,大豆
85,腐竹,豆类及制品,大豆
86,千张[百页],豆类及制品,大豆
87,豆腐干(均值),豆类及制品,大豆
88,素鸡,豆类及制品,大豆
89,素什锦,豆类及制品,大豆
90,烤麸,豆类及制品,大豆
91,绿豆(干),豆类及制品,绿豆
92,赤小豆[小豆，红小豆](干),豆类及制品,赤豆
93,小豆粥,豆类及制品,赤豆
94,豆沙,豆类及制品,赤豆
95,红豆沙,豆类及制品,赤豆
96,红豆馅,豆类及制品,赤豆
97,花豆(干，红),豆类及制品,芸豆
98,花豆(干，紫),豆类及制品,芸豆
99,芸豆(干，白),豆类及制品,芸豆
100,芸豆(干，红),豆类及制品,芸豆
101,芸豆(干，虎皮),豆类及制品,芸豆
102,芸豆(干，杂，带皮),豆类及制品,芸豆
103,蚕豆(带皮),豆类及制品,蚕豆
104,蚕豆(去皮),豆类及制品,蚕豆
105,扁豆(干),豆类及制品,其它
106,扁豆(干，白),豆类及制品,其它
107,眉豆[饭豇豆](干),豆类及制品,其它
108,豇豆(干),豆类及制品,其它
109,豌豆(干),豆类及制品,其它
110,鹰嘴豆[桃豆],豆类及制品,其它
111,荆豆(干),豆类及制品,其它
112,白萝卜[莱菔](鲜),菜类及制品,根菜类
113,变萝卜[红皮萝卜],菜类及制品,根菜类
114,红旦旦萝卜,菜类及制品,根菜类
115,红萝卜,菜类及制品,根菜类
116,红心萝卜,菜类及制品,根菜类
117,青萝卜,菜类及制品,根菜类
118,水萝卜[脆萝卜],菜类及制品,根菜类
119,小水萝卜[算盘子，红皮萝卜],菜类及制品,根菜类
120,心里美萝卜,菜类及制品,根菜类
121,胡萝卜(红)[金笋，丁香萝卜],菜类及制品,根菜类
122,胡萝卜(黄),菜类及制品,根菜类
123,芥菜头[大头菜，水芥],菜类及制品,根菜类
124,苤蓝[玉蔓菁，球茎甘蓝],菜类及制品,根菜类
125,甜菜根[甜菜头，糖萝卜](鲜),菜类及制品,根菜类
126,扁豆[月亮菜],菜类及制品,鲜豆类
127,刀豆(鲜),菜类及制品,鲜豆类
128,豆角,菜类及制品,鲜豆类
129,"豆角(鲜,白)",菜类及制品,鲜豆类
130,荷兰豆,菜类及制品,鲜豆类
